Column,Outlier Count
Benefit per order,18942
Order Profit Per Order,18942
Order Item Profit Ratio,17300
Order Item Discount,7537
Order Item Product Price,2048
Product Price,2048
Order Item Total,1943
Sales per customer,1943
Longitude,1414
Customer Id,1198
Order Customer Id,1198
Sales,488
Department Id,362
Latitude,9
Days for shipping (real),0
Category Id,0
Late_delivery_risk,0
Days for shipment (scheduled),0
Customer Zipcode,0
Order Item Discount Rate,0
Order Id,0
Order Item Cardprod Id,0
Order Item Id,0
Order Item Quantity,0
Product Card Id,0
Product Category Id,0
